,Name,Price,Mileage,Condition,Year,locations
0,Lexus LX 570,"₦ 50,015,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
1,Toyota Camry,"₦ 5,015,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
2,Toyota Venza,"₦ 7,115,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
3,Mercedes-Benz C 350,"₦ 4,815,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
4,Toyota Lexus RX 450h,"₦ 8,515,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
5,Toyota Venza,"₦ 7,615,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
6,Toyota Camry,"₦ 3,515,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
7,Acura MDX,"₦ 4,215,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
8,Toyota Camry,"₦ 4,865,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
9,Toyota Highlander,"₦ 8,815,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
10,Toyota Camry,"₦ 4,865,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
11,Toyota Corolla,"₦ 2,815,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
12,Toyota Highlander,"₦ 15,015,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
13,Toyota Prado,"₦ 25,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
14,Kia Forte,"₦ 3,515,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
15,Lexus GX 470,"₦ 5,815,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
16,Lexus LX 570,"₦ 42,515,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
17,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
18,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
19,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
20,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
21,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
22,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
23,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
24,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
25,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
26,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
27,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
28,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
29,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
30,Lexus RX 350,"₦ 3,515,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
31,Mercedes-Benz ML 350,"₦ 4,215,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
32,Toyota RAV 4,"₦ 4,865,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
33,Toyota Corolla,"₦ 8,815,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
34,Hyundai Santa Fe,"₦ 4,865,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
35,Lexus ES 350,"₦ 2,815,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
36,Toyota Highlander,"₦ 15,015,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
37,Mercedes-Benz C 300,"₦ 25,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
38,Mercedes-Benz C 300,"₦ 3,515,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
39,Toyota Camry,"₦ 5,815,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
40,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
41,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
42,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
43,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
44,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
45,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
46,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
47,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
48,Lexus LX 570,"₦ 6,215,000","72,443 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
49,Toyota Camry,"₦ 9,315,000","68,453 km",Foreign Used,2013,"Ikorodu, Lagos"
50,Toyota Venza,"₦ 4,765,000","57,451 km",Foreign Used,2013,"Ipaja, Lagos"
51,Mercedes-Benz C 350,"₦ 8,265,000","165,901 km",Foreign Used,2010,"New road, Lekki, Lagos"
52,Toyota Lexus RX 450h,"₦ 8,265,000","68,208 km",Foreign Used,2012,"New road, Lekki, Lagos"
